time,latitude,longitude,depth,mag
2021-10-13T17:34:23.775Z,-62.918,-161.3138,10,4.6
2021-11-02T17:00:46.473Z,-62.6243,155.4631,10,5.4
2021-10-13T22:08:55.726Z,-60.5083,-25.4511,10,4.4
2021-11-03T07:28:29.330Z,-60.3961,-24.2685,35,4.9
2021-10-15T07:26:55.417Z,-60.186,-24.5712,10,4.4
2021-11-06T09:56:22.566Z,-60.1682,-24.6229,10,4.7
2021-10-23T19:59:13.960Z,-60.1225,-29.9062,10,4.3
2021-10-22T05:21:08.414Z,-59.8217,-26.312,35,4.5
2021-10-14T08:21:31.574Z,-59.8007,-27.0902,38.9,4.3
2021-10-12T00:29:58.728Z,-59.7882,-26.8479,35,4.9
2021-10-23T01:19:14.827Z,-59.7706,-26.0692,35,4.5
2021-10-12T13:38:32.237Z,-59.7331,-25.9267,10,4.7
2021-10-16T02:35:18.009Z,-59.6597,-26.2423,55.66,4.9
2021-10-26T08:54:20.762Z,-59.5964,-25.8001,17.33,4.9
2021-10-29T22:07:59.446Z,-59.5924,-25.7919,35,4.5
2021-10-17T14:00:00.202Z,-59.4991,-25.9877,15.18,4.3
2021-10-14T08:19:00.741Z,-59.4397,-25.8653,35,4.2
2021-10-26T08:44:22.737Z,-59.3975,-25.0135,45.85,5
2021-10-30T04:11:29.211Z,-59.3732,-25.5457,35,4.8
2021-10-30T12:42:45.330Z,-59.3686,-25.5038,35,4.7
2021-10-29T07:20:16.604Z,-59.3025,-25.5752,42.94,4.6
2021-10-29T06:38:19.954Z,-59.1257,-25.6974,45.72,4.9
2021-10-12T03:22:52.646Z,-58.9836,-25.3829,35,4.5
2021-10-23T16:26:54.270Z,-58.9517,-25.0993,37.81,4.3
2021-10-16T13:24:11.927Z,-58.8994,-24.8422,52.3,5.1
2021-10-13T05:24:46.871Z,-58.82,-25.2524,35,4.8
2021-10-19T10:38:03.931Z,-58.802,-25.481,35,4.4
2021-10-12T05:49:02.778Z,-58.7587,-25.6196,35,4.4
2021-10-13T09:49:09.863Z,-58.6253,-25.1354,35,4.9
2021-11-06T15:13:19.459Z,-58.5233,-23.3964,10,5.3
2021-10-17T02:36:53.992Z,-58.4967,-25.6144,78.09,4.5
2021-10-20T01:02:53.956Z,-58.4507,-23.8711,10,4.8
2021-10-26T05:48:42.579Z,-58.3582,-14.8668,10,5.9
2021-10-14T12:47:56.602Z,-58.1471,-23.5821,24.36,4.7
2021-11-01T04:21:27.578Z,-58.1163,-24.4097,10,4.5
2021-10-17T17:20:54.380Z,-58.1083,-23.6329,10,4.6
2021-11-01T00:02:48.956Z,-58.0382,-25.2196,22,6
2021-11-01T02:50:58.695Z,-58.0153,-25.2169,35,5
2021-11-01T04:40:36.021Z,-57.9919,-24.4554,10,5
2021-10-19T01:42:28.910Z,-57.9499,-25.5233,35,4.7
2021-10-11T01:21:55.978Z,-57.9456,-25.2971,35,4.7
2021-11-07T18:50:24.591Z,-57.8709,-25.4456,64.17,5.1
2021-10-20T19:37:07.918Z,-57.7997,-25.368,35,4.9
2021-10-23T08:00:42.195Z,-57.4857,-25.7171,54.2,5
2021-10-22T21:57:46.219Z,-57.3456,-25.6851,35,4.8
2021-10-11T14:20:41.581Z,-57.2722,-24.8572,10,4.6
2021-10-24T14:56:43.755Z,-57.2716,-25.1584,35,4.8
2021-10-10T14:28:26.732Z,-57.1909,-24.7614,10,4.7
2021-10-12T02:36:02.466Z,-57.0543,-25.1454,35,4.6
2021-10-30T01:13:46.935Z,-57.0364,-27.1306,131.83,4.7
2021-10-10T05:25:38.450Z,-56.6958,-27.4198,143.01,4.9
2021-11-02T04:49:17.794Z,-56.3078,-26.1011,10,5.1
2021-10-23T00:34:17.002Z,-56.2517,-27.9011,112.3,5.2
2021-10-10T14:28:12.170Z,-56.1551,-126.8544,10,4.7
2021-11-03T05:36:45.315Z,-55.0699,-32.2326,10,4.7
2021-10-17T05:08:04.057Z,-53.7815,141.4926,10,4
2021-10-24T20:13:53.472Z,-53.264,23.2565,10,4.3
2021-10-16T17:33:17.177Z,-52.3807,13.4991,10,4.9
2021-10-30T09:03:22.554Z,-51.441,139.1069,10,5.9
2021-10-17T16:14:20.638Z,-50.5227,-73.7844,15.88,4.3
2021-10-13T07:55:29.280Z,-50.31,-72.2368,10,5.4
2021-10-23T23:55:45.118Z,-50.2851,-6.7396,10,4.6
2021-11-09T07:03:44.999Z,-49.5879,125.8531,10,4.6
2021-10-22T02:09:47.947Z,-49.0821,-8.7474,10,4.9
2021-10-18T21:28:26.682Z,-48.9786,-8.5069,10,4.9
2021-10-16T22:15:13.417Z,-48.3166,165.0563,12.1,4.7
2021-11-04T16:36:53.368Z,-48.2606,165.2157,10,5.5
2021-10-19T21:11:20.886Z,-46.8218,165.609,18.26,4.7
2021-10-18T18:32:15.736Z,-45.6834,-77.0966,10,4.7
2021-10-18T22:23:37.106Z,-45.6797,-77.0529,10,5.1
2021-10-20T01:21:28.319Z,-45.652,-77.6608,10,4.2
2021-10-26T13:11:28.267Z,-45.2564,166.5169,10,4.3
2021-10-24T17:29:29.335Z,-44.869,-76.0732,15.24,4
2021-10-16T07:04:24.846Z,-42.2774,-72.2325,146,4.5
2021-10-30T05:49:13.769Z,-41.4598,-83.3521,10,5
2021-11-07T03:16:44.975Z,-40.3332,173.4111,213.06,5.2
2021-10-12T01:55:01.092Z,-40.2063,173.4833,163.67,4.8
2021-10-31T09:49:50.977Z,-39.1364,174.6632,215.74,4.3
2021-10-21T21:58:20.753Z,-39.0151,174.9596,226.02,5.6
2021-11-05T08:04:58.668Z,-38.3993,144.9174,10,2.9
2021-10-13T06:58:42.377Z,-37.9234,176.9351,174.6,4.3
2021-10-20T23:27:35.156Z,-37.8243,-179.8554,10,4.1
2021-10-24T00:03:48.975Z,-37.7231,179.6288,10,4.1
2021-10-27T15:06:20.645Z,-37.5922,179.6383,10,4.4
2021-10-23T14:17:52.692Z,-37.5163,50.8989,10,4.9
2021-10-23T16:28:40.867Z,-37.4338,179.664,10,4.4
2021-10-16T06:10:02.785Z,-37.417,52.3543,10,4.5
2021-10-23T01:45:26.810Z,-36.9426,-72.8481,42.85,4.7
2021-10-16T18:34:37.878Z,-36.9059,-74.0571,10,4.4
2021-10-14T03:47:04.937Z,-36.302,52.4183,10,5.3
2021-11-08T10:06:01.974Z,-35.5042,-71.4017,101.82,4.2
2021-10-13T20:42:58.147Z,-35.4329,-179.3916,10,4.7
2021-10-25T20:29:51.713Z,-35.3371,-15.2042,10,4.8
2021-10-11T02:46:52.554Z,-35.3186,-179.363,10,4.1
2021-10-30T23:02:40.981Z,-35.1792,-72.9854,9.84,4.1
2021-11-04T13:12:14.142Z,-34.8654,178.9862,246.77,4.4
2021-10-18T19:47:15.157Z,-34.3652,-14.815,10,4.7
2021-11-06T21:08:34.806Z,-34.0585,-179.6003,35,4.3
2021-11-08T06:16:27.185Z,-33.9731,-73.4161,10,4.6
2021-10-10T23:27:58.603Z,-33.6106,-177.9568,10,4.7
2021-10-13T04:05:20.091Z,-33.5689,-178.7168,10,4.3
2021-11-02T14:11:23.119Z,-33.5295,-179.2507,35,4.5
2021-10-23T02:13:56.569Z,-33.2697,-71.7802,34.56,4.6
2021-10-27T06:10:48.356Z,-33.1894,-179.2345,53.64,4.9
2021-10-26T03:35:42.518Z,-32.8027,-70.6713,89.89,4.7
2021-11-03T03:17:48.410Z,-32.6979,-70.0534,98.49,5.7
